Nombre,usuario,locacion,followers Twitter,fecha tweet,id tweet,contenido,menciones,hashtags,likes,veces compartido
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 23:40:58 +0000 2020,1340442029730500609,b'\xc2\xa1GRACIAS LOJA!\n\nLa alegr\xc3\xada por la llegada del CAMBIO se sinti\xc3\xb3 en las calles de Loja en la caravana de hoy. La alia\xe2\x80\xa6 https://t.co/bJmuO4CaJJ',,,381,108
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 21:25:05 +0000 2020,1340407830625579008,"b'Con @guido_chiriboga , tenemos la #CapacidadParaCambiar en el Distrito 3 de Guayas \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8.\n\n\xc2\xa1El 2021 es el a\xc3\xb1o de\xe2\x80\xa6 https://t.co/DFRM3bAijK'",guido_chiriboga,CapacidadParaCambiar,222,91
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 19:15:25 +0000 2020,1340375198768480256,b'\xc2\xbfCu\xc3\xa1les son nuestras propuestas para el CAMBIO en Loja? \n- Trabajar en la carretera Loja-Catamayo \n- Impulsar proye\xe2\x80\xa6 https://t.co/KWPs6ybX7v',,,349,115
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 19:12:49 +0000 2020,1340374548303241217,b'Hoy estuvimos en rueda de prensa con los candidatos a la Asamblea Nacional de @CREOEcuador y @La6Ecuador en Loja. E\xe2\x80\xa6 https://t.co/4Tt0JaRvxr',CREOEcuador,,291,103
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 16:43:55 +0000 2020,1340337076412305408,b'\xc2\xa1Loja nos recibe con alegr\xc3\xada y emoci\xc3\xb3n!\n\nEL CAMBIO ES IMPARABLE \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8. #CapacidadParaCambiar https://t.co/T0UwjWtqQO',,CapacidadParaCambiar,366,114
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 15:29:40 +0000 2020,1340318388531458048,"b'Con seguridad ciudadana, atraeremos inversi\xc3\xb3n y crearemos empleo para todos en Ecuador \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8. #CapacidadParaCambiar'",,CapacidadParaCambiar,617,143
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 01:30:37 +0000 2020,1340107236530659332,b'No hay mejor punto de apoyo que la capacidad de amar de la familia ecuatoriana. Quisiera preguntarles:  \xc2\xbfQui\xc3\xa9n es s\xe2\x80\xa6 https://t.co/KZV4uBCKsL',,,324,123
Guillermo Lasso,LassoGuillermo,,624171,Sat Dec 19 00:44:32 +0000 2020,1340095637224902658,"b'Junto a @guido_chiriboga y todos los candidatos a la Asamblea Nacional por el Distrito 3 en Guayas, traeremos prosp\xe2\x80\xa6 https://t.co/IeILrdq1g1'",guido_chiriboga,,296,104
Guillermo Lasso,LassoGuillermo,,624171,Fri Dec 18 20:17:47 +0000 2020,1340028507380981760,b'@andrestacle \xc2\xa1Gracias por tus palabras! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc.',andrestacle,,1,0
Guillermo Lasso,LassoGuillermo,,624171,Fri Dec 18 20:08:51 +0000 2020,1340026260890775553,b'Las ciudades en todo el pa\xc3\xads atraviesan numerosos problemas que necesitan atenci\xc3\xb3n inmediata. Hoy nos reunimos con\xe2\x80\xa6 https://t.co/OrC2XRMK6C',,,313,125
Guillermo Lasso,LassoGuillermo,,624171,Fri Dec 18 19:09:57 +0000 2020,1340011435758415874,b'Los ecuatorianos en el exterior merecen un gobierno que los respalde. #D\xc3\xadaInternacionalDelMigrante\xe2\x80\xa6 https://t.co/KjsPRjUss4',,DíaInternacionalDelMigrante,256,111
Guillermo Lasso,LassoGuillermo,,624171,Fri Dec 18 16:38:47 +0000 2020,1339973394356457472,"b'Se siente la ola de CAMBIO que se viene el 7 de febrero de 2021, una con la #CapacidadParaCambiar este pa\xc3\xads al que\xe2\x80\xa6 https://t.co/4i2xUNn1fC'",,CapacidadParaCambiar,412,134
Guillermo Lasso,LassoGuillermo,,624171,Fri Dec 18 16:34:24 +0000 2020,1339972291434852352,"b'Por nuestros hermanos en el exterior y sus familias en Ecuador: VAMOS A BAJAR EL COSTO DE ENV\xc3\x8dO DE REMESAS AHORA, n\xe2\x80\xa6 https://t.co/pxQMJQsMAN'",,,363,132
